18.29,70.57,17.72
170.48,19.69,49.69
61.58,113.46,18.47
135.27,136.37,4.16
179.72,19.42,42.46
15.24,71.98,27.65
64.68,114.11,19.82
132.02,135.05,14.2
17.73,70.9,15.97
165.53,18.59,55.78
172.01,20.1,48.07
83.61,58.19,6.87
82.42,58.19,7.62
133.67,136.74,5.92
59.5,115.79,7.5
177.19,19.33,43.32
175.52,20.19,44.8
175.32,19.81,56.74
168.09,18.63,52.21
133.48,134.39,15.07
63.54,113.18,9.75
132.47,137.25,3.74
167.47,18.77,53.73
16.28,71.21,26.88
17.4,70.44,17.57
131.45,136.58,2.84
85.74,57.48,56.3
82.53,56.31,57.96
17.83,72.37,15.62
178.28,20.21,42.79
62.81,112.89,9.24
144.36,78.6,30.25
60.2,115.4,8.98
16.6,71.01,26.88
146.49,76.62,30.13
359.59,161.04,17.66
133.35,136.92,6.18
16.91,70.51,17.61
83.67,57.42,55.04
177.26,18.46,54.77
62.61,112.49,9.2
17,70.94,26.95
60.29,114.75,18.15
83.82,56.32,5.49
16.41,68.59,16.88
17.23,69.67,18.05
147.39,77.92,20.25
133.75,136.19,5.94
145.97,78.5,29.24
171.35,20.89,0.36
146.74,78.33,29.14
84.22,55.08,7.33
62.87,114.37,7.99
130.61,136.32,13.48
173.16,21.11,47.69
131.27,137.43,2.67
17.88,71,26.39
359.65,159.77,16.87
82.58,58.67,7.3
17.56,71.96,15.58
172.83,21.84,47.31
133.39,136.46,15.06
172.26,18.79,49.78
18,70.36,17.93
17.48,72.47,15.4
83.38,55.3,6.2
130.6,137.11,2.32
174.34,20.21,46.29
133.83,135.88,4.81
19.97,71.13,27.8
132.15,135.91,15.02
82.68,57.69,7.37
131.36,136.84,3.57
15.75,71.13,27.1
18.6,70.85,17.6
84.38,57.23,7.09
174.1,18.51,47.9
133.98,136.92,6.16
83.38,57.45,54.63
17,71.57,17.08
176.09,20.7,46.24
85.23,56.05,6.45
83.29,57.26,7.24
131.4,135.07,13.17
60.65,114.7,7.43
173.24,21.67,47.96
133.78,136.86,3.15
18.75,72.05,28.3
173.52,18.49,58.88
169.04,19.17,51.65
83.25,57.29,54.43
131.02,137.56,3.81
174.23,19.29,47.6
134.49,136.86,7.24
134.08,136.31,4.52
145.61,77.8,20.15
61.42,113.08,9.72
82.67,59.13,7.81
134.56,133.89,16.02
145.19,77.77,30.04
146.24,77.58,29.51
62.89,113.74,8.13
18.58,71.16,17.13
133.59,136.46,3.92
171.51,19.4,48.55
145.37,77.48,18.92
171.51,18.82,49.97
132,137.05,15.72
145.15,77.3,19.35
175.54,20.12,44.88
174.12,20.86,46.86
17.12,70.22,26.48
147.32,78.08,29.73
177.15,19.64,45.27
133.33,135.61,15.07
19.09,71.81,27.72
145.89,77.15,19.62
173.97,19.91,46.44
60.31,113.63,6.61
84.81,58.13,55.29
174.64,19.82,48.05
145.8,76.99,29.76
170.18,18.8,50.89
131.75,136.5,5.09
172.23,20.81,359.12
131.55,137.73,3.23
133.6,136.43,15.2
18.73,71.43,27.46
62.88,113.57,8.41
134.32,136.19,4.06
19.35,70.75,17.13
16.6,71.85,26.46
18.83,71.12,28.01
64.04,113.74,20.1
82.53,57.38,7.7
59.91,114.67,18.58
17.73,71.54,15.65
130.16,137.24,13.01
170.18,21.89,51.03
19.16,69.87,16.36
174.81,20.12,46.78
84.9,56.97,5.08
175.82,19.96,46.76
82.03,57.69,7.5
60.88,112.96,7.94
133.7,137.3,4.22
60.49,115.69,7.74
168.8,19.55,52.7
144.89,77.68,18.47
17.63,69.63,16.72
357.38,159.49,15.16
19.07,71.18,27.96
61.99,114.2,8.18
146.88,76.94,30.15
16.72,71.83,17.12
17.24,70.64,27.52
133,136.78,3.57
62.3,113.67,7.4
18.74,71.87,27.87
84.83,56.34,6.51
173.63,20.1,45.98
130.05,136.76,12.48
81.61,57.08,59.24
18.93,71.19,27.82
82.46,57.03,6.11
132.31,136.75,4.75
144.95,77.97,29.97
83.67,56.17,4.72
146.34,78.35,30.26
17.96,70.29,17.11
82.6,59.35,5.37
174.02,20.06,47.93
18.73,71.02,27.67
17.18,71.13,27.72
147.82,76.21,30.48
171.89,20.55,47.75
145.78,76.16,19.24
172.45,19.56,47.26
145.96,78.7,30.25
133.94,137.38,15.54
83.7,57.29,54.76
17.89,70.33,26.67
133.09,138.54,5.68
172.83,18.62,49.96
60.92,114.34,7.86
173.49,20.05,47.08
83.08,58.15,5.63
146.91,77.84,30.69
20.78,71.75,15.27
359.15,161.18,6.65
134.19,136.36,15.32
172.47,18.39,51.87
147.04,77.23,30.31
19.47,71.14,16.38
131.92,137.06,15.34
131.01,137.38,2.88
133.27,137.7,4.22
84.37,57.12,8.07
144.83,77.84,29.88
131.53,137.86,3.34
83.32,56.47,5.69
170.78,22.03,51.75
64.18,114.77,18.72
62.7,113.78,7.93
147.02,77.32,29.61
62.3,116.4,7.53
82.69,58.4,4.44
86.82,56.42,3.98
18.91,68.9,16.45
84.58,57.45,55.17
173.7,20.33,46.58
146,77.72,18.76
146.73,78.27,30.98
16.98,72.26,27.05
17.84,71.47,27.39
145.44,78.11,29.67
131.65,136.97,3.52
171.42,21.47,48.58
174.52,20.01,46.23
174.59,19.06,46.77
17.61,70.86,27.07
132.5,138.06,2.97
175.87,19.7,46.26
174.33,21.04,46.98
16.72,72.67,27.28
61.23,113.77,17.29
18.59,71.57,27.81
145.58,77.49,30.35
84.59,57.97,56.25
85.38,57,6.68
60.32,114.58,7.46
131.04,136.38,12.9
19.18,71.8,27.33
177.98,19.92,44.27
20.2,72.44,16.3
131.16,136.83,14.85
63.67,115.52,18.06
133.21,136.49,15.01
146.77,77.54,29.89
173.49,20.91,50.32
171.02,21.08,3.25
62.05,114.93,7.48
60.72,114.33,8.44
128.67,136.81,8.64
17.32,70.72,27.12
17.23,71.19,27.83
174.24,21.17,47.75
173.83,20.06,49.56
174.67,20.6,49.65
148.76,77.79,19.13
19.25,71.78,26.76
177.55,19.59,44.68
16.72,71.14,28.06
16.17,70.37,27.62
133.64,136.95,4.96
172.19,20.48,49.52
132.74,137.44,15.81
63.48,114.87,8.62
131.75,136.52,15.66
61.97,113.84,7.22
147.88,78.16,30.62
147.68,77.35,30.86
20.74,71.87,14.91
176.64,19.24,45.94
147.14,77.09,30.69
84.05,59.4,7.35
147.29,77.59,30
85.19,54.98,6.12
132.28,136.92,14.61
172.41,19.18,60.06
176.39,19.33,46.08
18.44,71.6,27.71
17.97,71.87,27.32
17.15,71.07,27.3
172.87,21.22,47.91
146.71,78,30.54
171.77,20.71,62.16
147.07,76.97,30.35
60.98,114.29,8.41
170.65,21.71,49.75
16.96,71.63,26.45
62.68,114.87,18.4
146.89,77.71,29.96
176.96,19.39,44.44
62.86,113.96,8.65
62.37,114.83,7.33
131.04,138.01,3.22
176.11,20.15,45.74
175.08,19.67,47.35
134.81,137.5,4.39
62.76,114.67,17.83
61.96,115.17,7.45
172.49,20.95,50.89
18.23,70.57,27.18
85.62,55.82,5.89
174.2,19.79,47.64
62.72,114.47,7.28
177.08,20.24,45.32
86.44,57.99,55.41
145.25,77.74,29.64
19.39,70.66,25.47
134.31,137.1,16.62
62,114.39,7.22
18.98,71.17,26.76
63.1,115.64,7.42
171.76,19.39,50.69
